"TL","Territory level and Typology","REG_ID","Region","VAR","Indicator","SECTOR","Economic sector (ISIC rev.4) ","SIZE","Employment size range","TIME","Year","Value","Flag Codes","Flags"
"3","Small regions (TL3)","DED53","Nordsachsen","ESTAB_CHURN_RA","Churn rate (births plus deaths in % of establishments - same sector, same size class)","B-S_X_K642","Total economy - aggregate 3 (industry, construction and services exc. insurance activities of holding companies)","TOTAL","Total","2014","2014",24.98,,
"3","Small regions (TL3)","DEE07","Börde","ESTAB_CHURN_RA","Churn rate (births plus deaths in % of establishments - same sector, same size class)","B-S_X_K642","Total economy - aggregate 3 (industry, construction and services exc. insurance activities of holding companies)","TOTAL","Total","2012","2012",28.51,,
"3","Small regions (TL3)","DEE07","Börde","ESTAB_CHURN_RA","Churn rate (births plus deaths in % of establishments - same sector, same size class)","B-S_X_K642","Total economy - aggregate 3 (industry, construction and services exc. insurance activities of holding companies)","TOTAL","Total","2013","2013",25.87,,
"3","Small regions (TL3)","DEE08","Burgenlandkreis","ESTAB_CHURN_RA","Churn rate (births plus deaths in % of establishments - same sector, same size class)","B-S_X_K642","Total economy - aggregate 3 (industry, construction and services exc. insurance activities of holding companies)","TOTAL","Total","2012","2012",25.55,,
"3","Small regions (TL3)","DEE09","Harz","ESTAB_CHURN_RA","Churn rate (births plus deaths in % of establishments - same sector, same size class)","B-S_X_K642","Total economy - aggregate 3 (industry, construction and services exc. insurance activities of holding companies)","TOTAL","Total","2013","2013",28.21,,
"3","Small regions (TL3)","DEA46","Minden-Lübbecke","ESTAB_CHURN_RA","Churn rate (births plus deaths in % of establishments - same sector, same size class)","B-S_X_K642","Total economy - aggregate 3 (industry, construction and services exc. insurance activities of holding companies)","TOTAL","Total","2012","2012",30.51,,
"3","Small regions (TL3)","DEA46","Minden-Lübbecke","ESTAB_CHURN_RA","Churn rate (births plus deaths in % of establishments - same sector, same size class)","B-S_X_K642","Total economy - aggregate 3 (industry, construction and services exc. insurance activities of holding companies)","TOTAL","Total","2013","2013",29.79,,
"3","Small regions (TL3)","DEA52","Dortmund, Kreisfreie Stadt","ESTAB_CHURN_RA","Churn rate (births plus deaths in % of establishments - same sector, same size class)","B-S_X_K642","Total economy - aggregate 3 (industry, construction and services exc. insurance activities of holding companies)","TOTAL","Total","2012","2012",40.92,,
"3","Small regions (TL3)","DEA52","Dortmund, Kreisfreie Stadt","ESTAB_CHURN_RA","Churn rate (births plus deaths in % of establishments - same sector, same size class)","B-S_X_K642","Total economy - aggregate 3 (industry, construction and services exc. insurance activities of holding companies)","TOTAL","Total","2014","2014",39.02,,
"3","Small regions (TL3)","DEA53","Hagen, Kreisfreie Stadt","ESTAB_CHURN_RA","Churn rate (births plus deaths in % of establishments - same sector, same size class)","B-S_X_K642","Total economy - aggregate 3 (industry, construction and services exc. insurance activities of holding companies)","TOTAL","Total","2012","2012",35.54,,
"3","Small regions (TL3)","DEA53","Hagen, Kreisfreie Stadt","ESTAB_CHURN_RA","Churn rate (births plus deaths in % of establishments - same sector, same size class)","B-S_X_K642","Total economy - aggregate 3 (industry, construction and services exc. insurance activities of holding companies)","TOTAL","Total","2013","2013",38.47,,
"3","Small regions (TL3)","DEA53","Hagen, Kreisfreie Stadt","ESTAB_CHURN_RA","Churn rate (births plus deaths in % of establishments - same sector, same size class)","B-S_X_K642","Total economy - aggregate 3 (industry, construction and services exc. insurance activities of holding companies)","TOTAL","Total","2014","2014",36.45,,
"3","Small regions (TL3)","DEA56","Ennepe-Ruhr-Kreis","ESTAB_CHURN_RA","Churn rate (births plus deaths in % of establishments - same sector, same size class)","B-S_X_K642","Total economy - aggregate 3 (industry, construction and services exc. insurance activities of holding companies)","TOTAL","Total","2012","2012",32.97,,
"3","Small regions (TL3)","DEA58","Märkischer Kreis","ESTAB_CHURN_RA","Churn rate (births plus deaths in % of establishments - same sector, same size class)","B-S_X_K642","Total economy - aggregate 3 (industry, construction and services exc. insurance activities of holding companies)","TOTAL","Total","2012","2012",32.77,,
"3","Small regions (TL3)","DEA58","Märkischer Kreis","ESTAB_CHURN_RA","Churn rate (births plus deaths in % of establishments - same sector, same size class)","B-S_X_K642","Total economy - aggregate 3 (industry, construction and services exc. insurance activities of holding companies)","TOTAL","Total","2013","2013",35.42,,
"3","Small regions (TL3)","DEA58","Märkischer Kreis","ESTAB_CHURN_RA","Churn rate (births plus deaths in % of establishments - same sector, same size class)","B-S_X_K642","Total economy - aggregate 3 (industry, construction and services exc. insurance activities of holding companies)","TOTAL","Total","2014","2014",32.54,,
"3","Small regions (TL3)","DEA59","Olpe","ESTAB_CHURN_RA","Churn rate (births plus deaths in % of establishments - same sector, same size class)","B-S_X_K642","Total economy - aggregate 3 (industry, construction and services exc. insurance activities of holding companies)","TOTAL","Total","2012","2012",28.42,,
"3","Small regions (TL3)","DEA59","Olpe","ESTAB_CHURN_RA","Churn rate (births plus deaths in % of establishments - same sector, same size class)","B-S_X_K642","Total economy - aggregate 3 (industry, construction and services exc. insurance activities of holding companies)","TOTAL","Total","2013","2013",30.07,,
"3","Small regions (TL3)","DEA59","Olpe","ESTAB_CHURN_RA","Churn rate (births plus deaths in % of establishments - same sector, same size class)","B-S_X_K642","Total economy - aggregate 3 (industry, construction and services exc. insurance activities of holding companies)","TOTAL","Total","2014","2014",28.92,,
"3","Small regions (TL3)","DEA5A","Siegen-Wittgenstein","ESTAB_CHURN_RA","Churn rate (births plus deaths in % of establishments - same sector, same size class)","B-S_X_K642","Total economy - aggregate 3 (industry, construction and services exc. insurance activities of holding companies)","TOTAL","Total","2012","2012",29,,
"3","Small regions (TL3)","DEB17","Mayen-Koblenz","ESTAB_CHURN_RA","Churn rate (births plus deaths in % of establishments - same sector, same size class)","B-S_X_K642","Total economy - aggregate 3 (industry, construction and services exc. insurance activities of holding companies)","TOTAL","Total","2012","2012",35.96,,
"3","Small regions (TL3)","DEB17","Mayen-Koblenz","ESTAB_CHURN_RA","Churn rate (births plus deaths in % of establishments - same sector, same size class)","B-S_X_K642","Total economy - aggregate 3 (industry, construction and services exc. insurance activities of holding companies)","TOTAL","Total","2013","2013",32.46,,
"3","Small regions (TL3)","DEB17","Mayen-Koblenz","ESTAB_CHURN_RA","Churn rate (births plus deaths in % of establishments - same sector, same size class)","B-S_X_K642","Total economy - aggregate 3 (industry, construction and services exc. insurance activities of holding companies)","TOTAL","Total","2014","2014",31.94,,
"3","Small regions (TL3)","DEB1A","Rhein-Lahn-Kreis","ESTAB_CHURN_RA","Churn rate (births plus deaths in % of establishments - same sector, same size class)","B-S_X_K642","Total economy - aggregate 3 (industry, construction and services exc. insurance activities of holding companies)","TOTAL","Total","2012","2012",37.11,,
"3","Small regions (TL3)","DEB1A","Rhein-Lahn-Kreis","ESTAB_CHURN_RA","Churn rate (births plus deaths in % of establishments - same sector, same size class)","B-S_X_K642","Total economy - aggregate 3 (industry, construction and services exc. insurance activities of holding companies)","TOTAL","Total","2013","2013",38.4,,
"3","Small regions (TL3)","DEB1A","Rhein-Lahn-Kreis","ESTAB_CHURN_RA","Churn rate (births plus deaths in % of establishments - same sector, same size class)","B-S_X_K642","Total economy - aggregate 3 (industry, construction and services exc. insurance activities of holding companies)","TOTAL","Total","2014","2014",36.96,,
"3","Small regions (TL3)","DEB1B","Westerwaldkreis","ESTAB_CHURN_RA","Churn rate (births plus deaths in % of establishments - same sector, same size class)","B-S_X_K642","Total economy - aggregate 3 (industry, construction and services exc. insurance activities of holding companies)","TOTAL","Total","2012","2012",33.05,,
"3","Small regions (TL3)","DEB1B","Westerwaldkreis","ESTAB_CHURN_RA","Churn rate (births plus deaths in % of establishments - same sector, same size class)","B-S_X_K642","Total economy - aggregate 3 (industry, construction and services exc. insurance activities of holding companies)","TOTAL","Total","2014","2014",33.83,,
"3","Small regions (TL3)","DEB21","Trier, Kreisfreie Stadt","ESTAB_CHURN_RA","Churn rate (births plus deaths in % of establishments - same sector, same size class)","B-S_X_K642","Total economy - aggregate 3 (industry, construction and services exc. insurance activities of holding companies)","TOTAL","Total","2012","2012",35.33,,
"3","Small regions (TL3)","DEB21","Trier, Kreisfreie Stadt","ESTAB_CHURN_RA","Churn rate (births plus deaths in % of establishments - same sector, same size class)","B-S_X_K642","Total economy - aggregate 3 (industry, construction and services exc. insurance activities of holding companies)","TOTAL","Total","2013","2013",34.28,,
"3","Small regions (TL3)","DEB22","Bernkastel-Wittlich","ESTAB_CHURN_RA","Churn rate (births plus deaths in % of establishments - same sector, same size class)","B-S_X_K642","Total economy - aggregate 3 (industry, construction and services exc. insurance activities of holding companies)","TOTAL","Total","2012","2012",30.43,,
"3","Small regions (TL3)","DEB24","Vulkaneifel","ESTAB_CHURN_RA","Churn rate (births plus deaths in % of establishments - same sector, same size class)","B-S_X_K642","Total economy - aggregate 3 (industry, construction and services exc. insurance activities of holding companies)","TOTAL","Total","2014","2014",30.58,,
"3","Small regions (TL3)","DEB25","Trier-Saarburg","ESTAB_CHURN_RA","Churn rate (births plus deaths in % of establishments - same sector, same size class)","B-S_X_K642","Total economy - aggregate 3 (industry, construction and services exc. insurance activities of holding companies)","TOTAL","Total","2012","2012",34.09,,
"3","Small regions (TL3)","DEB25","Trier-Saarburg","ESTAB_CHURN_RA","Churn rate (births plus deaths in % of establishments - same sector, same size class)","B-S_X_K642","Total economy - aggregate 3 (industry, construction and services exc. insurance activities of holding companies)","TOTAL","Total","2013","2013",32.61,,
"3","Small regions (TL3)","DEB31","Frankenthal (Pfalz), Kreisfreie Stadt","ESTAB_CHURN_RA","Churn rate (births plus deaths in % of establishments - same sector, same size class)","B-S_X_K642","Total economy - aggregate 3 (industry, construction and services exc. insurance activities of holding companies)","TOTAL","Total","2012","2012",41.83,,
