"NUTS3","VAR","Gender","Year","population"
"DEB3A","T","Total",2016,34260
"DEB33","T","Total",2016,45362
"DEE05","T","Total",2016,164817
"DEF05","T","Total",2016,132917
"DEF0E","T","Total",2016,131457
"DEG0G","T","Total",2016,82127
"DE118","T","Total",2016,334388
"DE116","T","Total",2016,419456
"DE135","T","Total",2016,137500
"DE13A","T","Total",2016,167861
"DE269","T","Total",2016,128446
"DE243","T","Total",2016,41257
"DE24B","T","Total",2016,72468
"DE239","T","Total",2016,144864
"DE259","T","Total",2016,167643
"DE256","T","Total",2016,181314
"DE229","T","Total",2016,76812
"DE21A","T","Total",2016,133747
"DE21L","T","Total",2016,133621
"DE21D","T","Total",2016,87385
"DE735","T","Total",2016,180310
"DE714","T","Total",2016,276218
"DE71C","T","Total",2016,347357
"DE942","T","Total",2016,50694
"DE94A","T","Total",2016,97900
"DE94C","T","Total",2016,167548
"DE933","T","Total",2016,248122
"DE94E","T","Total",2016,358079
"DE931","T","Total",2016,177971
"DEA5B","T","Total",2016,302995
"DEA1B","T","Total",2016,310337
"DEA24","T","Total",2016,163487
"DEA27","T","Total",2016,466657
"DEA2B","T","Total",2016,282729
"DEB1A","T","Total",2016,123543
"DEB1C","T","Total",2016,62391
"DEB3K","T","Total",2016,96474
"DEE07","T","Total",2016,173473
"DEF02","T","Total",2016,246306
"DEF04","T","Total",2016,79197
"DEG04","T","Total",2016,36778
"DEG0K","T","Total",2016,82951
"DE128","T","Total",2016,541859
"DE12A","T","Total",2016,155359
"DE141","T","Total",2016,282113
"DE245","T","Total",2016,145570
"DE253","T","Total",2016,124171
"DE25C","T","Total",2016,93342
"DE27D","T","Total",2016,131345
"DE212","T","Total",2016,1450380
"DE21H","T","Total",2016,340003
"DE21M","T","Total",2016,174162
"DE94G","T","Total",2016,89239
"DE804","T","Total",2016,96800
"DE925","T","Total",2016,277055
"DE926","T","Total",2016,71659
"DEA34","T","Total",2016,369666
"DEA43","T","Total",2016,252122
"DEA47","T","Total",2016,304332
"DEA1A","T","Total",2016,350046
"DEA51","T","Total",2016,364742
"DEB22","T","Total",2016,111828
"DED2F","T","Total",2016,247412
"DED41","T","Total",2016,248645
"DED43","T","Total",2016,312450
"DEG0A","T","Total",2016,77110
"DE26C","T","Total",2016,160427
"DE24A","T","Total",2016,67916
"DE222","T","Total",2016,50566
"DE725","T","Total",2016,107256
"DE718","T","Total",2016,233427
"DE715","T","Total",2016,266928
"DE936","T","Total",2016,113579
"DE946","T","Total",2016,121435
"DE938","T","Total",2016,140264
"DEA36","T","Total",2016,617807
"DEA1F","T","Total",2016,462664
"DEA53","T","Total",2016,189044
"DEA2C","T","Total",2016,596213
"DEB11","T","Total",2016,112586
"DEB13","T","Total",2016,129171
"DEB23","T","Total",2016,97180
"DEB25","T","Total",2016,147999
"DEB32","T","Total",2016,98520
"DEB34","T","Total",2016,164718
"DED45","T","Total",2016,324534
"DEG0F","T","Total",2016,109620
"DE121","T","Total",2016,54160
"DE123","T","Total",2016,435841
"DE246","T","Total",2016,104306
"DE255","T","Total",2016,40428
"DE21I","T","Total",2016,94654
"DE226","T","Total",2016,118965
"DE272","T","Total",2016,42731
"DE21K","T","Total",2016,256074
"DE300","T","Total",2016,3520030
"DE409","T","Total",2016,190714
"DE40G","T","Total",2016,117635
"DE401","T","Total",2016,71574
"DE501","T","Total",2016,557464
"DE731","T","Total",2016,197984
"DE711","T","Total",2016,155353
"DE71B","T","Total",2016,97000
"DE949","T","Total",2016,319488
"DEA38","T","Total",2016,277431
"DEA5C","T","Total",2016,396035
"DEB39","T","Total",2016,82102
"DEB37","T","Total",2016,40125
"DED51","T","Total",2016,560472
"DEE04","T","Total",2016,86164
"DEF07","T","Total",2016,163960
"DEF0D","T","Total",2016,267503
"DE115","T","Total",2016,534074
