"Category_Of_Intervention","Category_Label"
1,"Generic productive investment in small and medium–sized enterprises (‘SMEs’)"
2,"Research and innovation processes in large enterprises"
3,"Productive investment in large enterprises linked to the low-carbon economy"
4,"Productive investment linked to the cooperation between large enterprises and SMEs for developing information and communication technology (‘ICT’) products and services, e-commerce and enhancing demand for ICT"
7,"Natural gas"
9,"Renewable energy: wind"
10,"Renewable energy: solar"
11,"Renewable energy: biomass"
12,"Other renewable energy (including hydroelectric, geothermal and marine energy) and renewable energy integration (including storage, power to gas and renewable hydrogen infrastructure)"
13,"Energy efficiency renovation of public infrastructure, demonstration projects and supporting measures"
15,"Intelligent Energy Distribution Systems at medium and low voltage levels (including smart grids and ICT systems)"
16,"High efficiency co-generation and district heating"
23,"Environmental measures aimed at reducing and / or avoiding greenhouse gas emissions (including treatment and storage of methane gas and composting)"
34,"Other reconstructed or improved road (motorway, national, regional or local)"
35,"Multimodal transport (TEN-T)"
36,"Multimodal transport"
40,"Other seaports"
43,"Clean urban transport infrastructure and promotion (including equipment and rolling stock)"
44,"Intelligent transport systems (including the introduction of demand management, tolling systems, IT monitoring, control and information systems)"
46,"ICT: High-speed broadband network (access/local loop; >/= 30 Mbps)"
50,"Education infrastructure for vocational education and training and adult learning"
51,"Education infrastructure for school education (primary and general secondary education)"
52,"Infrastructure for early childhood education and care"
53,"Health infrastructure"
55,"Other social infrastructure contributing to regional and local development"
56,"Investment in infrastructure, capacities and equipment in SMEs directly linked to research and innovation activities"
57,"Investment in infrastructure, capacities and equipment in large companies directly linked to research and innovation activities"
58,"Research and innovation infrastructure (public)"
59,"Research and innovation infrastructure (private, including science parks)"
60,"Research and innovation activities in public research centres and centres of competence including networking"
61,"Research and innovation activities in private research centres including networking"
62,"Technology transfer and university-enterprise cooperation primarily benefiting SMEs"
63,"Cluster support and business networks primarily benefiting SMEs"
64,"Research and innovation processes in SMEs (including voucher schemes, process, design, service and social innovation)"
65,"Research and innovation infrastructure, processes, technology transfer and cooperation in enterprises focusing on the low carbon economy and on resilience to climate change"
66,"Advanced support services for SMEs and groups of SMEs (including management, marketing and design services)"
67,"SME business development, support to entrepreneurship and incubation (including support to spin offs and spin outs)"
68,"Energy efficiency and demonstration projects in SMEs and supporting measures"
69,"Support to environmentally-friendly production processes and resource efficiency in SMEs"
70,"Promotion of energy efficiency in large enterprises"
71,"Development and promotion of enterprises specialised in providing services contributing to the low carbon economy and to resilience to climate change (including support to such services)"
72,"Business infrastructure for SMEs (including industrial parks and sites)"
73,"Support to social enterprises (SMEs)"
74,"Development and promotion of commercial tourism assets in SMEs"
75,"Development and promotion of commercial tourism services in or for SMEs"
76,"Development and promotion of cultural and creative assets in SMEs"
77,"Development and promotion of cultural and creative services in or for SMEs"
79,"Access to public sector information (including open data e-Culture, digital libraries, e-Content and e-Tourism)"
81,"ICT solutions addressing the healthy active ageing challenge and e-Health services and applications (including e-Care and ambient assisted living)"
82,"ICT Services and applications for SMEs (including e-Commerce, e-Business and networked business processes), living labs, web entrepreneurs and ICT start-ups)"
83,"Air quality measures"
85,"Protection and enhancement of biodiversity, nature protection and green infrastructure"
86,"Protection, restoration and sustainable use of Natura 2000 sites"
87,"Adaptation to climate change measures and prevention and management of climate related risks e.g. erosion, fires, flooding, storms and drought, including awareness raising, civil protection and disaster management systems and infrastructures"
88,"Risk prevention and management of non-climate related natural risks (i.e. earthquakes) and risks linked to human activities (e.g. technological accidents), including awareness raising, civil protection and disaster management systems and infrastructures"
89,"Rehabilitation of industrial sites and contaminated land"
90,"Cycle tracks and footpaths"
91,"Development and promotion of the tourism potential of natural areas"
92,"Protection, development and promotion of public tourism assets"
93,"Development and promotion of public tourism services"
94,"Protection, development and promotion of public cultural and heritage assets"
95,"Development and promotion of public cultural and heritage services"
97,"Community-led local development initiatives in urban and rural areas"
102,"Access to employment for job-seekers and inactive people, including the long-term unemployed and people far from the labour market, also through local employment initiatives and support for labour mobility"
103,"Sustainable integration into the labour market of young people, in particular those not in employment, education or training, including young people at risk of social exclusion and young people from marginalised communities, including through the implementation of the Youth Guarantee"
104,"Self-employment, entrepreneurship and business creation including innovative micro, small and medium sized enterprises"
105,"Equality between men and women in all areas, including in access to employment, career progression, reconciliation of work and private life and promotion of equal pay for equal work"
106,"Adaptation of workers, enterprises and entrepreneurs to change"
109,"Active inclusion, including with a view to promoting equal opportunities and active participation, and improving employability"
112,"Enhancing access to affordable, sustainable and high-quality services, including health care and social services of general interest"
114,"Community-led local development strategies"
115,"Reducing and preventing early school-leaving and promoting equal access to good quality early-childhood, primary and secondary education including formal, non-formal and informal learning pathways for reintegrating into education and training"
116,"Improving the quality and efficiency of, and access to, tertiary and equivalent education with a view to increasing participation and attainment levels, especially for disadvantaged groups"
117,"Enhancing equal access to lifelong learning for all age groups in formal, non-formal and informal settings, upgrading the knowledge, skills and competences of the workforce, and promoting flexible learning pathways including through career guidance and validation of acquired competences"
118,"Improving the labour market relevance of education and training systems, facilitating the transition from education to work, and strengthening vocational education and training systems and their quality, including through mechanisms for skills anticipation, adaptation of curricula and the establishment and development of work-based learning systems, including dual learning systems and apprenticesh"
121,"Preparation, implementation, monitoring and inspection"
122,"Evaluation and studies"
123,"Information et communication"
