"Programme_Code","Programme_Name"
"2014DE05SFOP001","Schleswig-Holstein  - ESF"
"2014DE05SFOP002","Federal Germany - ESF"
"2014DE05SFOP003","Baden-Württemberg - ESF"
"2014DE05SFOP004","Bayern - ESF"
"2014DE05SFOP005","Berlin - ESF"
"2014DE05SFOP006","Brandenburg - ESF"
"2014DE05SFOP007","Hamburg - ESF"
"2014DE05SFOP008","Hessen - ESF"
"2014DE05SFOP009","Mecklenburg-Vorpommern - ESF"
"2014DE05SFOP010","Nordrhein-Westfalen - ESF"
"2014DE05SFOP011","Saarland - ESF"
"2014DE05SFOP012","Sachsen - ESF"
"2014DE05SFOP013","Sachsen-Anhalt - ESF"
"2014DE05SFOP014","Thüringen - ESF"
"2014DE05SFOP015","Rheinland-Pfalz - ESF"
"2014DE05SFOP016","Bremen - ESF"
"2014DE16M2OP001","Niedersachsen - ERDF/ESF"
"2014DE16RFOP001","Baden-Württemberg - ERDF"
"2014DE16RFOP002","Bayern - ERDF"
"2014DE16RFOP003","Berlin - ERDF"
"2014DE16RFOP004","Brandenburg - ERDF"
"2014DE16RFOP005","Bremen - ERDF"
"2014DE16RFOP006","Hamburg  - ERDF"
"2014DE16RFOP007","Hessen  - ERDF"
"2014DE16RFOP008","Mecklenburg-Vorpommern  - ERDF"
"2014DE16RFOP009","Nordrhein-Westfalen - ERDF"
"2014DE16RFOP010","Rheinland-Pfalz - ERDF"
"2014DE16RFOP011","Saarland  - ERDF"
"2014DE16RFOP012","Sachsen - ERDF"
"2014DE16RFOP013","Sachsen-Anhalt - ERDF"
"2014DE16RFOP014","Schleswig-Holstein - ERDF"
"2014DE16RFOP015","Thüringen - ERDF"
"2014TC16M5TN001","Interreg V-B - Baltic Sea"
"2014TC16M6TN001","Interreg V-B - Danube"
"2014TC16RFCB001","Interreg V-A - Belgium-Germany-The Netherlands (Euregio Maas-Rijn)"
"2014TC16RFCB004","Interreg V-A - Austria–Germany/Bayern"
"2014TC16RFCB009","Interreg V-A - Germany/Bayern-Czech Republic"
"2014TC16RFCB011","Interreg V-A - Germany/Brandenburg-Poland"
"2014TC16RFCB013","Interreg V-A - Poland-Denmark-Germany-Lithuania-Sweden (South Baltic)"
"2014TC16RFCB017","Interreg V-A - Germany/Sachsen-Czech Republic"
"2014TC16RFCB018","Interreg V-A - Poland-Germany/Sachsen"
"2014TC16RFCB019","Interreg V-A - Germany (Mecklenburg-Vorpommern-Brandenburg) -Poland"
"2014TC16RFCB023","Interreg V-A - Germany-The Netherlands"
"2014TC16RFCB024","Interreg V-A - Germany-Austria-Switzerland-Liechtenstein (Alpenrhein-Bodensee-Hochrhein)"
"2014TC16RFCB039","Interreg V-A - France-Germany-Switzerland (Rhin supérieur)"
"2014TC16RFCB045","Interreg V-A - France-Belgium-Germany-Luxembourg (Grande Région)"
"2014TC16RFCB046","Interreg V-A - Belgium-The Netherlands"
"2014TC16RFCB056","Interreg V-A - Germany-Denmark"
"2014TC16RFIR001","Interreg Europe"
"2014TC16RFIR003","Urbact"
"2014TC16RFIR004","ESPON"
"2014TC16RFTN001","Interreg V-B - Alpine Space"
"2014TC16RFTN002","Interreg V-B - Atlantic Area"
"2014TC16RFTN003","Interreg V-B - Central Europe"
"2014TC16RFTN004","Interreg V-B - Northern Periphery and Arctic"
"2014TC16RFTN005","Interreg V-B - North Sea"
"2014TC16RFTN006","Interreg V-B - North West Europe"
