"NUTS3_Code","Region"
"AT312|BG411|HU110|HR050|RO321|RS110|RO223|RO224|AT130|SK010|DEA12","Linz-Wels|София (столица)|Budapest|Grad Zagreb|Bucureşti|Београдска област|Constanţa|Galaţi|Vienna|Bratislava Region|Duisburg"
"AT323|AT312|DE212","Salzburg und Umgebung|Linz-Wels|Munich"
"AT332|DE212","Götzens|Munich"
"AT332|HU110|RS110|RO223|RO224|AT130|DEA12|BG323","Götzens|Budapest|Београдска област|Constanţa|Galaţi|Vienna|Duisburg|Ruse Province"
"BE332|BE211|NL423|FRC21|UKM50|UKM75|FR101|DE712","Arrondissement of Liège|Arrondissement of Antwerp|Zuid-Limburg|Doubs|Aberdeen City and Aberdeenshire|Edinburgh, City of|Paris|Frankfurt"
"BE332|BE323|BE236|BE234|BE211|NL33C|NL414|NL124|FRD22|FRE11|UKI53|BE329|FR105|DEA12|BE100","Arrondissement of Liège|Arrondissement of Mons|Arrondissement of Sint-Niklaas|Arrondissement of Ghent|Arrondissement of Antwerp|Groot-Rijnmond|Zuidoost-Noord-Brabant|Noord-Friesland|Seine-Maritime|Nord|Redbridge and Waltham Forest|Arrondissement of La Louvière|Hauts-de-Seine|Duisburg|Arrondissement of Brussels-Capital"
"BE332|NL423|DE300","Arrondissement of Liège|Zuid-Limburg|Berlin"
"BE335|BE336|BE332|NL423|DEA22","Arrondissement of Verviers|Arrondissement of Liège|Zuid-Limburg|Bonn"
"BE341|FRF33|FRF31|LU000|DEB35","Arrondissement of Arlon|Moselle|Meurthe-et-Moselle|Luxembourg|Mainz"
"BG331|HU110|HU120|HR050|RS110|RO223|RO224|RO225|AT130|DEA12","Варна|Budapest|Pest|Grad Zagreb|Београдска област|Constanţa|Galaţi|Tulcea|Vienna|Duisburg"
"BG411|DE212","София (столица)|Munich"
"CH012|IT311|ITD10|ITH10|IT312|ITD20|ITH20|SI041|DE213|AT342|AT123|FRK26|DE212","Canton of Valais|South Tyrol|Trentino|Osrednjeslovenska|Rosenheim|Rheintal-Bodenseegebiet|Sankt Pölten|Rhône|Munich"
"CH013|DE252|LU000","Canton of Geneva|Erlangen|Luxembourg"
"CH021|DE134|DE131|FRF34|FRH02|FRF11|FRF31|FRF12|DEB35","canton of Bern|Ortenau|Freiburg im Breisgau|Vosges|Finistère|Bas-Rhin|Meurthe-et-Moselle|Haut-Rhin|Mainz"
"CH031|CH013|FR104|DE733|DE263|DEF03|DE123|DEA1A|DE122|DE25A|DE131|DE125|DE121|DE718|FRF33|FRF11|FRC21|FRF23|FRF31|FRF12|FRC24|FR101|DEB35","Basel-Stadt|Canton of Geneva|Essonne|Hersfeld-Rotenburg|Würzburg|Lübeck|Karlsruhe|Wuppertal|Neustadt (Aisch)-Bad Windsheim|Freiburg im Breisgau|Heidelberg|Baden-Baden|Hochtaunuskreis|Moselle|Bas-Rhin|Doubs|Marne|Meurthe-et-Moselle|Haut-Rhin|Territoire de Belfort|Paris|Mainz"
"CH031|CH021|DE122|DE131|FRF11|FRF12|DEB35","Basel-Stadt|canton of Bern|Karlsruhe|Freiburg im Breisgau|Bas-Rhin|Haut-Rhin|Mainz"
"CH031|CH021|DE139|DE131|FRF12","Basel-Stadt|canton of Bern|Lörrach|Freiburg im Breisgau|Haut-Rhin"
"CH031|CH021|DEB3F|DEB32|DE134|DE131|FRF11|FRF12|FR107|DEB35|CH011","Basel-Stadt|canton of Bern|Kaiserslautern|Ortenau|Freiburg im Breisgau|Bas-Rhin|Haut-Rhin|Val-de-Marne|Mainz|Canton of Vaud"
"CH031|DE122|DE131|FRF11|FRF12","Basel-Stadt|Karlsruhe|Freiburg im Breisgau|Bas-Rhin|Haut-Rhin"
"CH031|DE131|FRF11|FRF12","Basel-Stadt|Freiburg im Breisgau|Bas-Rhin|Haut-Rhin"
"CH031|DE132|DE134|DE131|FRF11|FRF12","Basel-Stadt|Breisgau-Hochschwarzwald|Ortenau|Freiburg im Breisgau|Bas-Rhin|Haut-Rhin"
"CH031|DE139|FRF12","Basel-Stadt|Lörrach|Haut-Rhin"
"CH032|CH031|CH021|CH061|DE134|DE131|FRF11|FRF31|FRF12|FR107","Basel-Landschaft|Basel-Stadt|canton of Bern|Canton of Lucerne|Ortenau|Freiburg im Breisgau|Bas-Rhin|Meurthe-et-Moselle|Haut-Rhin|Val-de-Marne"
"CH032|CH031|CH021|DE122|DE134|DE133|DE131|FRF33|FRF11|FRF31|FRF12|DEB35","Basel-Landschaft|Basel-Stadt|canton of Bern|Karlsruhe|Ortenau|Emmendingen|Freiburg im Breisgau|Moselle|Bas-Rhin|Meurthe-et-Moselle|Haut-Rhin|Mainz"
"CH032|CH031|CH021|DE131|FRF11","Basel-Landschaft|Basel-Stadt|canton of Bern|Freiburg im Breisgau|Bas-Rhin"
"CH032|CH031|DE142|DE131|DE125|FRF11","Basel-Landschaft|Basel-Stadt|Tübingen|Freiburg im Breisgau|Heidelberg|Bas-Rhin"
"CH032|CH031|DEB34|DE126|DE122|DE139|DE134|FRF11|FRF12","Basel-Landschaft|Basel-Stadt|Ludwigshafen|Mannheim|Karlsruhe|Lörrach|Ortenau|Bas-Rhin|Haut-Rhin"
"CH032|CH031|DEB36|DE122|FRF33|FRF11|FRF12|DE714|DEB35","Basel-Landschaft|Basel-Stadt|Neustadt an der Weinstraße|Karlsruhe|Moselle|Bas-Rhin|Haut-Rhin|Wiesbaden|Mainz"
"CH033|CH031|CH021|DE131|DE125|FRF11|DEB35","Canton Aargau|Basel-Stadt|canton of Bern|Freiburg im Breisgau|Heidelberg|Bas-Rhin|Mainz"
"CH033|CH031|CH021|DEB3F|DE122|DE136|DE134|DE131|FRF11|FRF12|DEB35","Canton Aargau|Basel-Stadt|canton of Bern|Kaiserslautern|Karlsruhe|Schwarzwald-Baar district|Ortenau|Freiburg im Breisgau|Bas-Rhin|Haut-Rhin|Mainz"
"CH033|CH031|DE13A","Canton Aargau|Basel-Stadt|Waldshut"
"CH033|CH031|DEB33|DE122|DE136|DE134|DE131|FRF11|FRF12|FR101","Canton Aargau|Basel-Stadt|Landau in der Pfalz|Karlsruhe|Schwarzwald-Baar district|Ortenau|Freiburg im Breisgau|Bas-Rhin|Haut-Rhin|Paris"
"CH033|CH032|CH023|DEE09|DEB14|DEB36|DE122|DE148|DE134|DE131|DE115|FRF11|FRF23|FRJ12|FRF12|FR101","Canton Aargau|Basel-Landschaft|Canton of Solothurn|Harz District|Bad Kreuznach|Neustadt an der Weinstraße|Karlsruhe|Landkreis Ravensburg|Ortenau|Freiburg im Breisgau|Ludwigsburg|Bas-Rhin|Marne|Gard|Haut-Rhin|Paris"
