"Thematic_Objective_ID","Thematic_Objective_Label"
"TO01","Research and innovation"
"TO02","Information and communication technology"
"TO03","Competitiveness of SMEs"
"TO04","Low-carbon economy"
"TO05","Climate change adaptation and risk prevention"
"TO06","Environment protection and resource efficiency"
"TO07","Network infrastructure in transport and energy"
"TO08","Sustainable and quality employment"
"TO09","Social inclusion"
"TO10","Educational and vocational training"
"TO12","Technical assistance"
