"NUTS3","years_2014_15","years_2016_17","years_2018_19","GDPpercap_2020","GDPpercap_2018"
"DEA26",13.0347669584019,15.3477234984956,16.6635646968444,10.3446093378523,10.2985992485648
"DE923",12.3176838747105,15.9940859370081,16.687162616657,10.4984980625276,10.452446760283
"DEE0D",12.0397406122464,15.8968565645615,16.4944566847151,10.2524528534048,10.1792235539695
"DED2C",14.9034376584049,15.9657634925737,17.1643260605094,10.2340495006176,10.1736673498518
"DE804",16.5593177123526,17.6313851341409,18.2144042292299,10.6555638006254,10.5800225110404
"DE80J",16.2149655648811,17.5515316978606,17.7673127192318,10.2942788584105,10.2168008213609
"DE80N",16.0172908240593,17.5901242469576,18.2486941059053,10.19125712116,10.1281898883143
"DEG03",15.5455224985721,18.0681583599163,18.6154209166728,10.7322358573476,10.7077958924436
"DE300",18.5868493472542,19.5673965913539,19.7830025500973,10.6585291366337,10.6285209219584
"DED52",15.2289987865366,15.8259017424392,16.4296150774792,10.2617562258133,10.1807025356381
"DEG0J",14.3365524457349,16.001209331232,16.2002595670623,10.1171058826253,10.0541464288212
"DEE0C",12.4952048816112,17.7049310189813,18.3226749609627,10.1941402084327,10.124909622952
"DE731",0,14.4691730295604,15.8475450698157,10.8415789143691,10.8517225885928
"DE80O",15.9817254972425,17.3613469360093,17.4521369049458,10.1847867980187,10.1053666085456
"DEG05",14.5867966609943,16.5936017130031,17.4742424723333,10.3783543374479,10.3252196331082
"DE935",15.2668021791256,17.1771338314729,16.7371082196161,10.3026327318995,10.2499454800643
"DEA31",12.2038825824251,15.0025577055925,15.4251551367081,10.0752114856948,10.0723438583765
"DEE09",14.0929400757591,16.8159525994597,17.5713618118778,10.0998352810632,10.0850588279394
"DED41",16.3431595949775,17.4866546947685,18.0137246864009,10.5169690376778,10.501059518173
"DEG02",14.9549890297458,15.7513690218729,15.4926039105938,10.3145370389382,10.26493110855
"DEG0P",15.3098781688566,16.5964182418061,16.8939759642219,10.2599374711586,10.1961571664989
"DEE0A",11.390757830996,15.3166272740466,16.7326534982679,10.0007957350031,9.94745658991825
"DE502",13.928736113804,15.5071130487398,15.8839798678351,10.4919129023245,10.4779638033784
"DEG0F",15.6569794289375,17.2156514345683,17.8404903493821,10.3168877609636,10.2764639036076
"DEE02",14.6784155298762,17.8630289653532,18.5349112223861,10.406865511167,10.3472113727614
"DED43",16.5200310557124,17.588798646838,17.9973144894596,10.2349472473338,10.2114868257508
"DEG07",14.9814728869479,15.8836726272181,16.5371634060179,10.1785022312602,10.170226847968
"DEG0D",14.5618542725481,15.4316705575087,16.1825355877433,10.1399026460436,10.1382829565908
"DEE0E",12.2239866473582,15.5466227395982,16.6067394672692,10.207178299633,10.126471091049
"DED2D",14.651582368818,16.3099543155795,17.1584074129373,10.2626643641922,10.2168373717365
"DEG06",15.1477060768854,16.363227243708,16.8071635578596,10.172903816181,10.1673122884573
"DEA2D",13.4733061330314,17.5709636726288,18.2703847001659,10.5565936835589,10.5495169197681
"DE402",14.2603517587135,16.7205536785393,17.226463651482,10.5036418662469,10.4712982417848
"DEG0M",14.1045170104839,15.4207909569229,16.1619552685159,10.0307367534516,10.0017026000331
"DE803",15.936367880861,17.6934353310912,18.102168254483,10.5342804913491,10.4938265131144
"DED21",18.0569742244896,19.1910032917713,19.6105819648839,10.6502939764178,10.6194719669988
"DE407",11.0125630768029,14.9863048174579,16.6253963449526,10.1755355472039,10.1170251137051
"DEE06",13.143290240158,16.1560796476852,16.6910421071506,10.2012189608409,10.1558403304343
"DED42",16.2365912805507,17.4272988916849,17.7199476821049,10.0986019311288,10.0745796273785
"DE80K",17.1615201590186,17.7096044867636,17.9398550870503,10.2049245902202,10.1420319004264
"DED45",16.7085615693914,17.1671539514649,17.7348460279371,10.3314966250792,10.3399990290496
"DEG0H",13.8901992785938,15.4686724534338,15.9759807228739,10.2263678356379,10.2826086853047
"DEG0I",14.5496380318746,16.0865267597549,16.6268343669062,10.1979838552956,10.1888544470305
"DED2F",15.28578984101,16.4135764091062,16.9057779654396,10.0872663803281,10.0644152166424
"DE916",15.1614615860289,17.403415520452,17.721085977793,10.2800386504796,10.3019951800768
"DE212",13.0710611356083,16.605169426856,17.3221560853446,11.3159977557869,11.3024760017149
"DE934",0,15.9449403953704,16.3921337426883,10.1704182978183,10.1670434144616
"DE94A",14.1690379535658,16.1538790702709,17.1115159272094,10.1995841235889,10.2150814450342
"DEA47",11.3843496872632,15.858867056294,16.6018108598004,10.4904961370344,10.4962617589493
"DEA52",17.7348206500627,18.7298777980871,19.0540727622305,10.6001535348452,10.5806069720189
"DE404",15.6705301747877,17.446171545076,18.1152710179561,10.7077958924436,10.6687925907262
"DEB25",0,16.8358316667727,17.3475301706246,9.92593374136596,9.91056246620809
