"NUTS1","GDP","population","GDP_per_cap"
"DE8",41108.490149,1612362,25495.8192694941
"DEE",59088.404112,2245470,26314.4927841387
"DE4",67295.736261,2484826,27082.6755116857
"DEG",59148.52444,2170714,27248.4189257544
"DED",117207.942161,4084851,28693.3212890752
"DEF",87164.823302,2858714,30490.9211981332
"DEB",136005.955563,4052803,33558.4916323345
"DEC",34235.834604,995597,34387.241628892
"DE9",280320.356607,7926598,35364.5229147485
"DEA",652688.089062,17865514,36533.4067109404
"DE3",132180.64653,3520030,37551
"DE1",473304.504898,10879618,43503.7797189203
"DE7",270310.553815,6176172,43766.6816622011
"DE2",575460.18214,12843513,44805.5124902353
"DE5",31174.82251,671489,46426.4083402707
"DE6",109834.55709,1787410,61449
