"NUTS3","Region","adminstration"
"DE111","Stuttgart, Stadtkreis","urban"
"DE112","Böblingen","rural"
"DE113","Esslingen","rural"
"DE114","Göppingen","rural"
"DE115","Ludwigsburg","rural"
"DE116","Rems-Murr-Kreis","rural"
"DE117","Heilbronn, Stadtkreis","urban"
"DE118","Heilbronn, Landkreis","rural"
"DE119","Hohenlohekreis","rural"
"DE11A","Schwäbisch Hall","rural"
"DE11B","Main-Tauber-Kreis","rural"
"DE11C","Heidenheim","rural"
"DE11D","Ostalbkreis","rural"
"DE121","Baden-Baden, Stadtkreis","urban"
"DE122","Karlsruhe, Stadtkreis","urban"
"DE123","Karlsruhe, Landkreis","rural"
"DE124","Rastatt","rural"
"DE125","Heidelberg, Stadtkreis","urban"
"DE126","Mannheim, Stadtkreis","urban"
"DE127","Neckar-Odenwald-Kreis","rural"
"DE128","Rhein-Neckar-Kreis","rural"
"DE129","Pforzheim, Stadtkreis","urban"
"DE12A","Calw","rural"
"DE12B","Enzkreis","rural"
"DE12C","Freudenstadt","rural"
"DE131","Freiburg im Breisgau, Stadtkreis","urban"
"DE132","Breisgau-Hochschwarzwald","rural"
"DE133","Emmendingen","rural"
"DE134","Ortenaukreis","rural"
"DE135","Rottweil","rural"
"DE136","Schwarzwald-Baar-Kreis","rural"
"DE137","Tuttlingen","rural"
"DE138","Konstanz","rural"
"DE139","Lörrach","rural"
"DE13A","Waldshut","rural"
"DE141","Reutlingen","rural"
"DE142","Tübingen, Landkreis","rural"
"DE143","Zollernalbkreis","rural"
"DE144","Ulm, Stadtkreis","urban"
"DE145","Alb-Donau-Kreis","rural"
"DE146","Biberach","rural"
"DE147","Bodenseekreis","rural"
"DE148","Ravensburg","rural"
"DE149","Sigmaringen","rural"
"DE211","Ingolstadt, Kreisfreie Stadt","urban"
"DE212","München, Kreisfreie Stadt","urban"
"DE213","Rosenheim, Kreisfreie Stadt","urban"
"DE214","Altötting","rural"
"DE215","Berchtesgadener Land","rural"
"DE216","Bad Tölz-Wolfratshausen","rural"
"DE217","Dachau","rural"
"DE218","Ebersberg","rural"
"DE219","Eichstätt","rural"
"DE21A","Erding","rural"
"DE21B","Freising","rural"
"DE21C","Fürstenfeldbruck","rural"
"DE21D","Garmisch-Partenkirchen","rural"
"DE21E","Landsberg am Lech","rural"
"DE21F","Miesbach","rural"
"DE21G","Mühldorf a. Inn","rural"
"DE21H","München, Landkreis","rural"
"DE21I","Neuburg-Schrobenhausen","rural"
"DE21J","Pfaffenhofen a. d. Ilm","rural"
"DE21K","Rosenheim, Landkreis","rural"
"DE21L","Starnberg","rural"
"DE21M","Traunstein","rural"
"DE21N","Weilheim-Schongau","rural"
"DE221","Landshut, Kreisfreie Stadt","urban"
"DE222","Passau, Kreisfreie Stadt","urban"
"DE223","Straubing, Kreisfreie Stadt","urban"
"DE224","Deggendorf","rural"
"DE225","Freyung-Grafenau","rural"
"DE226","Kelheim","rural"
"DE227","Landshut, Landkreis","rural"
"DE228","Passau, Landkreis","rural"
"DE229","Regen","rural"
"DE22A","Rottal-Inn","rural"
"DE22B","Straubing-Bogen","rural"
"DE22C","Dingolfing-Landau","rural"
"DE231","Amberg, Kreisfreie Stadt","urban"
"DE232","Regensburg, Kreisfreie Stadt","urban"
"DE233","Weiden i. d. Opf, Kreisfreie Stadt","urban"
"DE234","Amberg-Sulzbach","rural"
"DE235","Cham","rural"
"DE236","Neumarkt i. d. OPf.","rural"
"DE237","Neustadt a. d. Waldnaab","rural"
"DE238","Regensburg, Landkreis","rural"
"DE239","Schwandorf","rural"
"DE23A","Tirschenreuth","rural"
"DE241","Bamberg, Kreisfreie Stadt","urban"
"DE242","Bayreuth, Kreisfreie Stadt","urban"
"DE243","Coburg, Kreisfreie Stadt","urban"
"DE244","Hof, Kreisfreie Stadt","urban"
"DE245","Bamberg, Landkreis","rural"
"DE246","Bayreuth, Landkreis","rural"
"DE247","Coburg, Landkreis","rural"
"DE248","Forchheim","rural"
"DE249","Hof, Landkreis","rural"
"DE24A","Kronach","rural"
"DE24B","Kulmbach","rural"
"DE24C","Lichtenfels","rural"
"DE24D","Wunsiedel i. Fichtelgebirge","rural"
"DE251","Ansbach, Kreisfreie Stadt","urban"
"DE252","Erlangen, Kreisfreie Stadt","urban"
"DE253","Fürth, Kreisfreie Stadt","urban"
"DE254","Nürnberg, Kreisfreie Stadt","urban"
"DE255","Schwabach, Kreisfreie Stadt","urban"
"DE256","Ansbach, Landkreis","rural"
"DE257","Erlangen-Höchstadt","rural"
"DE258","Fürth, Landkreis","rural"
"DE259","Nürnberger Land","rural"
"DE25A","Neustadt a. d. Aisch-Bad Windsheim","rural"
"DE25B","Roth","rural"
"DE25C","Weißenburg-Gunzenhausen","rural"
"DE261","Aschaffenburg, Kreisfreie Stadt","urban"
"DE262","Schweinfurt, Kreisfreie Stadt","urban"
"DE263","Würzburg, Kreisfreie Stadt","urban"
"DE264","Aschaffenburg, Landkreis","rural"
"DE265","Bad Kissingen","rural"
"DE266","Rhön-Grabfeld","rural"
"DE267","Haßberge","rural"
"DE268","Kitzingen","rural"
"DE269","Miltenberg","rural"
"DE26A","Main-Spessart","rural"
"DE26B","Schweinfurt, Landkreis","rural"
"DE26C","Würzburg, Landkreis","rural"
"DE271","Augsburg, Kreisfreie Stadt","urban"
"DE272","Kaufbeuren, Kreisfreie Stadt","urban"
"DE273","Kempten (Allgäu), Kreisfreie Stadt","urban"
"DE274","Memmingen, Kreisfreie Stadt","urban"
"DE275","Aichach-Friedberg","rural"
"DE276","Augsburg, Landkreis","rural"
"DE277","Dillingen a.d. Donau","rural"
"DE278","Günzburg","rural"
"DE279","Neu-Ulm","rural"
"DE27A","Lindau (Bodensee)","rural"
"DE27B","Ostallgäu","rural"
"DE27C","Unterallgäu","rural"
"DE27D","Donau-Ries","rural"
"DE27E","Oberallgäu","rural"
"DE300","Berlin","urban"
"DE401","Brandenburg an der Havel, Kreisfreie Stadt","urban"
"DE402","Cottbus, Kreisfreie Stadt","urban"
"DE403","Frankfurt (Oder), Kreisfreie Stadt","urban"
"DE404","Potsdam, Kreisfreie Stadt","urban"
"DE405","Barnim","rural"
"DE406","Dahme-Spreewald","rural"
"DE407","Elbe-Elster","rural"
"DE408","Havelland","rural"
"DE409","Märkisch-Oderland","rural"
"DE40A","Oberhavel","rural"
"DE40B","Oberspreewald-Lausitz","rural"
"DE40C","Oder-Spree","rural"
"DE40D","Ostprignitz-Ruppin","rural"
"DE40E","Potsdam-Mittelmark","rural"
"DE40F","Prignitz","rural"
"DE40G","Spree-Neiße","rural"
"DE40H","Teltow-Fläming","rural"
"DE40I","Uckermark","rural"
"DE501","Bremen, Kreisfreie Stadt","urban"
"DE502","Bremerhaven, Kreisfreie Stadt","urban"
"DE600","Hamburg","urban"
"DE711","Darmstadt, Kreisfreie Stadt","urban"
"DE712","Frankfurt am Main, Kreisfreie Stadt","urban"
"DE713","Offenbach am Main, Kreisfreie Stadt","urban"
"DE714","Wiesbaden, Kreisfreie Stadt","urban"
"DE715","Bergstraße","rural"
"DE716","Darmstadt-Dieburg","rural"
"DE717","Groß-Gerau","rural"
"DE718","Hochtaunuskreis","rural"
"DE719","Main-Kinzig-Kreis","rural"
"DE71A","Main-Taunus-Kreis","rural"
"DE71B","Odenwaldkreis","rural"
"DE71C","Offenbach, Landkreis","rural"
"DE71D","Rheingau-Taunus-Kreis","rural"
"DE71E","Wetteraukreis","rural"
"DE721","Gießen, Landkreis","rural"
"DE722","Lahn-Dill-Kreis","rural"
"DE723","Limburg-Weilburg","rural"
"DE724","Marburg-Biedenkopf","rural"
"DE725","Vogelsbergkreis","rural"
"DE731","Kassel, Kreisfreie Stadt","urban"
"DE732","Fulda","rural"
"DE733","Hersfeld-Rotenburg","rural"
"DE734","Kassel, Landkreis","rural"
"DE735","Schwalm-Eder-Kreis","rural"
"DE736","Waldeck-Frankenberg","rural"
"DE737","Werra-Meißner-Kreis","rural"
"DE803","Rostock, Kreisfreie Stadt","urban"
"DE804","Schwerin, Kreisfreie Stadt","urban"
"DE80J","Mecklenburgische Seenplatte","rural"
"DE80K","Landkreis Rostock","rural"
"DE80L","Vorpommern-Rügen","rural"
"DE80M","Nordwestmecklenburg","rural"
"DE80N","Vorpommern-Greifswald","rural"
"DE80O","Ludwigslust-Parchim","rural"
"DE911","Braunschweig, Kreisfreie Stadt","urban"
"DE912","Salzgitter, Kreisfreie Stadt","urban"
"DE913","Wolfsburg, Kreisfreie Stadt","urban"
"DE914","Gifhorn","rural"
"DE916","Goslar","rural"
"DE917","Helmstedt","rural"
"DE918","Northeim","rural"
"DE91A","Peine","rural"
"DE91B","Wolfenbüttel","rural"
"DE91C","Göttingen","rural"
"DE922","Diepholz","rural"
"DE923","Hameln-Pyrmont","rural"
"DE925","Hildesheim","rural"
"DE926","Holzminden","rural"
"DE927","Nienburg (Weser)","rural"
"DE928","Schaumburg","rural"
"DE929","Region Hannover","rural"
"DE931","Celle","rural"
"DE932","Cuxhaven","rural"
"DE933","Harburg","rural"
"DE934","Lüchow-Dannenberg","rural"
"DE935","Lüneburg, Landkreis","rural"
"DE936","Osterholz","rural"
"DE937","Rotenburg (Wümme)","rural"
"DE938","Heidekreis","rural"
"DE939","Stade","rural"
