"TL","Territory Level and Typology","REG_ID","Region","SERIES","SNA Classification","VAR","Indicator","MEAS","Measure","POS","Position","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"3","Small regions (TL3)","DEG07","Nordhausen","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GDP","Regional GDP","CURR_PR","      Millions National currency, current prices","ALL","All regions","2014","2014","EUR","Euro","6","Millions",,,2019.79,,
"3","Small regions (TL3)","DEG07","Nordhausen","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GDP","Regional GDP","CURR_PR","      Millions National currency, current prices","ALL","All regions","2015","2015","EUR","Euro","6","Millions",,,2014.5,,
"3","Small regions (TL3)","DEG07","Nordhausen","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GDP","Regional GDP","CURR_PR","      Millions National currency, current prices","ALL","All regions","2016","2016","EUR","Euro","6","Millions",,,2154.18,,
"3","Small regions (TL3)","DEG09","Unstrut-Hainich-Kreis","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GDP","Regional GDP","CURR_PR","      Millions National currency, current prices","ALL","All regions","2001","2001","EUR","Euro","6","Millions",,,1848.3,,
"3","Small regions (TL3)","DEG09","Unstrut-Hainich-Kreis","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GDP","Regional GDP","CURR_PR","      Millions National currency, current prices","ALL","All regions","2002","2002","EUR","Euro","6","Millions",,,1793.51,,
"3","Small regions (TL3)","DEG09","Unstrut-Hainich-Kreis","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GDP","Regional GDP","CURR_PR","      Millions National currency, current prices","ALL","All regions","2003","2003","EUR","Euro","6","Millions",,,1753.16,,
"3","Small regions (TL3)","DEG09","Unstrut-Hainich-Kreis","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GDP","Regional GDP","CURR_PR","      Millions National currency, current prices","ALL","All regions","2004","2004","EUR","Euro","6","Millions",,,1775.74,,
"3","Small regions (TL3)","DEG09","Unstrut-Hainich-Kreis","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GDP","Regional GDP","CURR_PR","      Millions National currency, current prices","ALL","All regions","2005","2005","EUR","Euro","6","Millions",,,1799.48,,
"3","Small regions (TL3)","DEG09","Unstrut-Hainich-Kreis","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GDP","Regional GDP","CURR_PR","      Millions National currency, current prices","ALL","All regions","2006","2006","EUR","Euro","6","Millions",,,1859.5,,
"3","Small regions (TL3)","DEG09","Unstrut-Hainich-Kreis","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GDP","Regional GDP","CURR_PR","      Millions National currency, current prices","ALL","All regions","2007","2007","EUR","Euro","6","Millions",,,1877.14,,
"3","Small regions (TL3)","DEG09","Unstrut-Hainich-Kreis","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GDP","Regional GDP","CURR_PR","      Millions National currency, current prices","ALL","All regions","2008","2008","EUR","Euro","6","Millions",,,2085.58,,
"3","Small regions (TL3)","DEG09","Unstrut-Hainich-Kreis","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GDP","Regional GDP","CURR_PR","      Millions National currency, current prices","ALL","All regions","2009","2009","EUR","Euro","6","Millions",,,1897.21,,
"3","Small regions (TL3)","DEG09","Unstrut-Hainich-Kreis","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GDP","Regional GDP","CURR_PR","      Millions National currency, current prices","ALL","All regions","2010","2010","EUR","Euro","6","Millions",,,2021.71,,
"3","Small regions (TL3)","DEG09","Unstrut-Hainich-Kreis","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GDP","Regional GDP","CURR_PR","      Millions National currency, current prices","ALL","All regions","2011","2011","EUR","Euro","6","Millions",,,2076.53,,
